No.,Species,Year,Asset,Platform,Surface,Euphotic_zone,Remark
62,Pyrophacus sp.,2022,GBS,PPS,0,1,
63,Rhizosolenia sp.(1),2022,GBS,PPS,9,4,
64,R. imbricate,2022,GBS,PPS,147,54,
65,R. robusta,2022,GBS,PPS,7,7,
66,Staurastrum sp.,2022,GBS,PPS,0,0,
67,Surirella sp.,2022,GBS,PPS,7,67,
68,Thalassionema frauenfeldii,2022,GBS,PPS,76,784,
69,Thalassiosira sp.,2022,GBS,PPS,88,155,
70,Thalassiothrix sp.,2022,GBS,PPS,3,0,
71,T. nitzschioides,2022,GBS,PPS,23,246,
72,Trachyneis sp.,2022,GBS,PPS,0,0,
73,Triceratium sp.,2022,GBS,PPS,0,0,
74,Volvox sp.,2022,GBS,PPS,1,23,
75,Actinoptychus undulatus,2021,GBS,PPS,1,13,
76,Alexandrium sp.,2021,GBS,PPS,6,2,
77,Amphisolenia bidentata,2021,GBS,PPS,1,0,
78,Amphora sp. ,2021,GBS,PPS,2,41,
79,Asterionellopsis sp.,2021,GBS,PPS,0,2,
80,Bacillaria paxillifera,2021,GBS,PPS,0,10,
81,Bacteriastrum sp.,2021,GBS,PPS,13,7,
82,Bellerochea sp.,2021,GBS,PPS,2,7,
83,Bidduphia sp.,2021,GBS,PPS,0,0,
84,Campylodiscus sp.,2021,GBS,PPS,2,7,
85,C. concinnus,2021,GBS,PPS,0,36,
86,Centronella sp.,2021,GBS,PPS,1,1,
87,Ceratium tripo,2021,GBS,PPS,85,69,
88,C. excentricu,2021,GBS,PPS,37,360,
89,C. furca,2021,GBS,PPS,85,25,
90,C. fusus,2021,GBS,PPS,9,2,
91,Chaetoceros sp.,2021,GBS,PPS,26,92,
92,C. laciniosum,2021,GBS,PPS,12,23,
93,Closterium sp.,2021,GBS,PPS,0,0,
94,Corethron sp.,2021,GBS,PPS,1,10,
95,Corythodinium sp.,2021,GBS,PPS,18,26,
96,Coscinodiscus gigas ,2021,GBS,PPS,41,538,
97,Cyclotella sp.,2021,GBS,PPS,9,145,
98,Cylindrotheca sp.,2021,GBS,PPS,0,12,
99,Cymatosira sp.,2021,GBS,PPS,0,0,
100,Dactyliosolen sp.,2021,GBS,PPS,8,76,
101,D. fibula,2021,GBS,PPS,1,18,
102,Dictyocha octonaria,2021,GBS,PPS,1,60,
103,Dinophysis caudata,2021,GBS,PPS,1,3,
104,Diploneis sp.,2021,GBS,PPS,1,10,
105,Ditylum brightwellii,2021,GBS,PPS,0,21,
106,Entomoneis sp. ,2021,GBS,PPS,0,23,
107,Eucampia sp.,2021,GBS,PPS,1,0,
108,Gonyaulax sp.,2021,GBS,PPS,39,32,
109,Guinadia sp.,2021,GBS,PPS,1,20,
110,Gyrosigma sp.,2021,GBS,PPS,7,60,
111,Helicotheca tamesis,2021,GBS,PPS,1,33,
112,Hemiaulus sinensis,2021,GBS,PPS,197,26,
113,Lauderia sp.,2021,GBS,PPS,7,36,
114,Lyrella sp.,2021,GBS,PPS,0,0,
115,Melosira sp.,2021,GBS,PPS,2,17,
116,Meunier sp.,2021,GBS,PPS,0,0,
117,Navicula sp.,2021,GBS,PPS,7,49,
118,Nitzchia sp.,2021,GBS,PPS,4,7,
119,Odontella sinensis,2021,GBS,PPS,1,9,
120,O. mobiliensis,2021,GBS,PPS,1,1,
121,Ornithocercus sp.,2021,GBS,PPS,4,11,
122,Oscillatoria sp.,2021,GBS,PPS,26,17,
123,Oxytoxum sp. ,2021,GBS,PPS,9,15,
124, Palmeria sp.,2021,GBS,PPS,0,2,
125,Paralia sp.,2021,GBS,PPS,0,13,
126,P. blanda,2021,GBS,PPS,1,28,
127,Pediastrum sp.,2021,GBS,PPS,0,0,
128,Planktoniella sol,2021,GBS,PPS,4,20,
129,Plurosigma sp.,2021,GBS,PPS,10,57,
130,Podolampas bipes,2021,GBS,PPS,8,11,
131,Prorocentrum  micans,2021,GBS,PPS,12,9,
132,Prorocentrum sp (1),2021,GBS,PPS,59,72,
133,Protoperdinium sp. (1),2021,GBS,PPS,33,37,
134,Protoperidinium  depressum,2021,GBS,PPS,6,7,
135,Pseudonitzchia sp.,2021,GBS,PPS,3,0,
136,Pyrophacus sp.,2021,GBS,PPS,0,1,
137,Rhizosolenia sp.(1),2021,GBS,PPS,9,4,
138,R. imbricate,2021,GBS,PPS,147,54,
139,R. robusta,2021,GBS,PPS,7,7,
140,Staurastrum sp.,2021,GBS,PPS,0,0,
141,Surirella sp.,2021,GBS,PPS,7,67,
142,Thalassionema frauenfeldii,2021,GBS,PPS,76,784,
143,Thalassiosira sp.,2021,GBS,PPS,88,155,
144,Thalassiothrix sp.,2021,GBS,PPS,3,0,
145,T. nitzschioides,2021,GBS,PPS,23,246,
146,Trachyneis sp.,2021,GBS,PPS,0,0,
147,Triceratium sp.,2021,GBS,PPS,0,0,
148,Volvox sp.,2021,GBS,PPS,1,23,
149,Actinoptychus undulatus,2020,GBS,PPS,1,13,
150,Alexandrium sp.,2020,GBS,PPS,6,2,
151,Amphisolenia bidentata,2020,GBS,PPS,1,0,
152,Amphora sp. ,2020,GBS,PPS,2,41,
153,Asterionellopsis sp.,2020,GBS,PPS,0,2,
154,Bacillaria paxillifera,2020,GBS,PPS,0,10,
155,Bacteriastrum sp.,2020,GBS,PPS,13,7,
156,Bellerochea sp.,2020,GBS,PPS,2,7,
157,Bidduphia sp.,2020,GBS,PPS,0,0,
158,Campylodiscus sp.,2020,GBS,PPS,2,7,
159,C. concinnus,2020,GBS,PPS,0,36,
160,Centronella sp.,2020,GBS,PPS,1,1,
161,Ceratium tripo,2020,GBS,PPS,85,69,
162,C. excentricu,2020,GBS,PPS,37,360,
163,C. furca,2020,GBS,PPS,85,25,
164,C. fusus,2020,GBS,PPS,9,2,
165,Chaetoceros sp.,2020,GBS,PPS,26,92,
166,C. laciniosum,2020,GBS,PPS,12,23,
167,Closterium sp.,2020,GBS,PPS,0,0,
168,Corethron sp.,2020,GBS,PPS,1,10,
169,Corythodinium sp.,2020,GBS,PPS,18,26,
170,Coscinodiscus gigas ,2020,GBS,PPS,41,538,
171,Cyclotella sp.,2020,GBS,PPS,9,145,
172,Cylindrotheca sp.,2020,GBS,PPS,0,12,
173,Cymatosira sp.,2020,GBS,PPS,0,0,
174,Dactyliosolen sp.,2020,GBS,PPS,8,76,
175,D. fibula,2020,GBS,PPS,1,18,
176,Dictyocha octonaria,2020,GBS,PPS,1,60,
177,Dinophysis caudata,2020,GBS,PPS,1,3,
178,Diploneis sp.,2020,GBS,PPS,1,10,
179,Ditylum brightwellii,2020,GBS,PPS,0,21,
180,Entomoneis sp. ,2020,GBS,PPS,0,23,
181,Eucampia sp.,2020,GBS,PPS,1,0,
182,Gonyaulax sp.,2020,GBS,PPS,39,32,
183,Guinadia sp.,2020,GBS,PPS,1,20,
184,Gyrosigma sp.,2020,GBS,PPS,7,60,
185,Helicotheca tamesis,2020,GBS,PPS,1,33,
186,Hemiaulus sinensis,2020,GBS,PPS,197,26,
187,Lauderia sp.,2020,GBS,PPS,7,36,
188,Lyrella sp.,2020,GBS,PPS,0,0,
189,Melosira sp.,2020,GBS,PPS,2,17,
190,Meunier sp.,2020,GBS,PPS,0,0,
191,Navicula sp.,2020,GBS,PPS,7,49,
192,Nitzchia sp.,2020,GBS,PPS,4,7,
193,Odontella sinensis,2020,GBS,PPS,1,9,
194,O. mobiliensis,2020,GBS,PPS,1,1,
195,Ornithocercus sp.,2020,GBS,PPS,4,11,
196,Oscillatoria sp.,2020,GBS,PPS,26,17,
197,Oxytoxum sp. ,2020,GBS,PPS,9,15,
198, Palmeria sp.,2020,GBS,PPS,0,2,
199,Paralia sp.,2020,GBS,PPS,0,13,
200,P. blanda,2020,GBS,PPS,1,28,
201,Pediastrum sp.,2020,GBS,PPS,0,0,
202,Planktoniella sol,2020,GBS,PPS,4,20,
203,Plurosigma sp.,2020,GBS,PPS,10,57,
204,Podolampas bipes,2020,GBS,PPS,8,11,
205,Prorocentrum  micans,2020,GBS,PPS,12,9,
206,Prorocentrum sp (1),2020,GBS,PPS,59,72,
207,Protoperdinium sp. (1),2020,GBS,PPS,33,37,
208,Protoperidinium  depressum,2020,GBS,PPS,6,7,
209,Pseudonitzchia sp.,2020,GBS,PPS,3,0,
210,Pyrophacus sp.,2020,GBS,PPS,0,1,
211,Rhizosolenia sp.(1),2020,GBS,PPS,9,4,
212,R. imbricate,2020,GBS,PPS,147,54,
213,R. robusta,2020,GBS,PPS,7,7,
214,Staurastrum sp.,2020,GBS,PPS,0,0,
215,Surirella sp.,2020,GBS,PPS,7,67,
216,Thalassionema frauenfeldii,2020,GBS,PPS,76,784,
217,Thalassiosira sp.,2020,GBS,PPS,88,155,
218,Thalassiothrix sp.,2020,GBS,PPS,3,0,
219,T. nitzschioides,2020,GBS,PPS,23,246,
220,Trachyneis sp.,2020,GBS,PPS,0,0,
221,Triceratium sp.,2020,GBS,PPS,0,0,
222,Volvox sp.,2020,GBS,PPS,1,23,
