No.,Year,Group,Identification,Asset,Platform,Station,SurfaceShannon,SurfaceNumber,SurfaceMax,SurfaceEvenness,Euphotic_zoneShannon,Euphotic_zoneNumber,Euphotic_zoneMax,Euphotic_zoneEvenness,AverageShannon,AverageNumber,AverageMax,AverageEvenness
36,2019,Phytoplankton,Morphology,ART,AWP1N,AWP1N-1,2.82,29,3.37,0.84,1.2,23,3.14,0.38,0,0,0,0
37,2019,Phytoplankton,Morphology,ART,AWP1N,AWP1N-2,2.83,29,3.37,0.84,1.37,22,3.09,0.44,0,0,0,0
38,2019,Phytoplankton,Morphology,ART,AWP1N,AWP1N-3,2.86,30,3.4,0.84,1.73,26,3.26,0.53,0,0,0,0
39,2019,Phytoplankton,Morphology,GBN,WP37,WP37-1,2.72,31,3.43,0.79,1.59,21,3.04,0.52,0,0,0,0
40,2019,Phytoplankton,Morphology,GBN,WP37,WP37-2,2.74,29,3.37,0.81,1.17,22,3.09,0.38,0,0,0,0
41,2019,Phytoplankton,Morphology,GBN,WP37,WP37-3,2.91,28,3.33,0.87,1.12,17,2.83,0.39,0,0,0,0
42,2019,Phytoplankton,Morphology,Ref_in,Ref_in,Ref_in,2.69,24,3.18,0.85,1.49,26,3.26,0.46,0,0,0,0
43,2019,Phytoplankton,Morphology,Losin,Losin,Losin1,1.67,22,3.09,0.54,1.85,25,3.22,0.58,0,0,0,0
44,2019,Phytoplankton,Morphology,Losin,Losin,Losin1,2.16,29,3.37,0.64,2,27,3.3,0.61,0,0,0,0
45,2019,Phytoplankton,Morphology,Losin,Losin,Losin1,2.43,25,3.22,0.76,1.91,27,3.3,0.58,0,0,0,0
46,2019,Phytoplankton,Morphology,Ref_Losin,Ref_Losin,Ref_Losin,2.59,33,3.5,0.74,2.57,28,3.33,0.77,0,0,0,0
