Year,Project,PlatformAge (y),Platform,Station,Latitude,Longtitude,SamplingDate,InstallationDate,Depth,MethodOfCollection,IdentifiationTechnique,major group,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,Unaccepted subphylum,infraphylum,Unaccepted Infraphylum,superclass,Unaccepted Superclass,class,Unaccepted Class,subclass,Unaccepted Subclass,infraclass,superorder,Unaccepted Superorder,order,Unaccepted Order,suborder,infraorder,superfamily,family,Unaccepted Family,subfamily,supergenus,subgenus,genus,Unaccepted Genus,species name,Unaccepted Species,subspecies name,Unaccepted subSpecies,picture,ThaiName,Density,No_of_species,Diversity_index,pi,ln(pi),pi*ln(pi)
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Aulacoseirales ,,-,-,-,Aulacoseiraceae,,-,-,-,Aulacoseira,,Aulacoseira sp.,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Bacillaria ,,Bacillaria paxillifer,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Bacillaria ,,Bacillaria sp.,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Cylindrotheca ,,Cylindrotheca closterium ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Cylindrotheca ,,Cylindrotheca sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Cylindrotheca ,,Cylindrotheca sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia lorenziana,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia longissima,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.3,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.4,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.5,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.6,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.7,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Nitzschia ,,Nitzschia sp.8,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Pseudo-nitzschia,,Pseudo-nitzschia sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Pseudo-nitzschia,,Pseudo-nitzschia sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Bacillariophycidae,,-,Bacillariophycanae,,Bacillariales,,-,-,-,Bacillariaceae,,-,-,-,Tryblionella,,Tryblionella sp.,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Biddulphianae,,Hemiaulales,,-,-,-,Bellerocheaceae,,-,-,-,Bellerochea,,Bellerochea sp.,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Biddulphianae,,Biddulphiales ,,-,-,-,Biddulphiaceae,,-,-,-,Biddulphia,,Biddulphia sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Biddulphianae,,Biddulphiales ,,-,-,-,Biddulphiaceae,,-,-,-,Biddulphia,,Biddulphia sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Bacteriastrum,,Bacteriastrum furcatum ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Bacteriastrum,,Bacteriastrum hyalinum,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Bacteriastrum,,Bacteriastrum comosum,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Bacteriastrum,,Bacteriastrum sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Bacteriastrum,,Bacteriastrum sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Bacteriastrum,,Bacteriastrum sp.3,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Bacteriastrum,,Bacteriastrum sp.4,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros messanense ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros lorenzianus,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros compressus,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros coarctatus,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros aequatorialis,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros affinis,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros atlanticus ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros diversus ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros didymus ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros peruvianus ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros pseudocurvisetus,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros eibenii,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros costatus,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros tenuissimus ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.3,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.4,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.5,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.6,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.7,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.8,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.9,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.10,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.11,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.12,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.13,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Chaetocerotanae,,Chaetocerotanae incertae sedis,,-,-,-,Chaetocerotaceae,,-,-,-,Chaetoceros,,Chaetoceros sp.14,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Fragilariophycidae,,-,Fragilariophycanae,,Climacospheniales ,,-,-,-,Climacospheniaceae ,,-,-,-,Climacosphenia,,Climacosphenia sp.,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Corethranae,,Corethrales,,-,-,-,Corethraceae,,-,-,-,Corethron,,Corethron criophilum ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Corethranae,,Corethrales,,-,-,-,Corethraceae,,-,-,-,Corethron,,Corethron sp.,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus gigas ,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.3,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.4,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.5,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.6,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.7,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.8,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Coscinodiscales,,-,-,-,Coscinodiscaceae,,-,-,-,Coscinodiscus,,Coscinodiscus sp.9,,-,,,,,,,,,
